movieId,title,genres,year,title_clean,genre_list,movie_idx
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,"['Adventure', 'Children', 'Fantasy']",1
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,"['Comedy', 'Romance']",2
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,['Comedy'],3
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,"['Action', 'Crime', 'Thriller']",4
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,"['Comedy', 'Romance']",5
9,Sudden Death (1995),Action,1995.0,Sudden Death,['Action'],6
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,"['Action', 'Adventure', 'Thriller']",7
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The","['Comedy', 'Drama', 'Romance']",8
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,"['Comedy', 'Horror']",9
14,Nixon (1995),Drama,1995.0,Nixon,['Drama'],10
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,"['Action', 'Adventure', 'Romance']",11
16,Casino (1995),Crime|Drama,1995.0,Casino,"['Crime', 'Drama']",12
17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,"['Drama', 'Romance']",13
18,Four Rooms (1995),Comedy,1995.0,Four Rooms,['Comedy'],14
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,['Comedy'],15
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",16
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,"['Comedy', 'Crime', 'Thriller']",17
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",18
23,Assassins (1995),Action|Crime|Thriller,1995.0,Assassins,"['Action', 'Crime', 'Thriller']",19
24,Powder (1995),Drama|Sci-Fi,1995.0,Powder,"['Drama', 'Sci-Fi']",20
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas,"['Drama', 'Romance']",21
26,Othello (1995),Drama,1995.0,Othello,['Drama'],22
28,Persuasion (1995),Drama|Romance,1995.0,Persuasion,"['Drama', 'Romance']",23
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",24
31,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds,['Drama'],25
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",26
34,Babe (1995),Children|Drama,1995.0,Babe,"['Children', 'Drama']",27
36,Dead Man Walking (1995),Crime|Drama,1995.0,Dead Man Walking,"['Crime', 'Drama']",28
39,Clueless (1995),Comedy|Romance,1995.0,Clueless,"['Comedy', 'Romance']",29
41,Richard III (1995),Drama|War,1995.0,Richard III,"['Drama', 'War']",30
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",31
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,To Die For,"['Comedy', 'Drama', 'Thriller']",32
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,How to Make an American Quilt,"['Drama', 'Romance']",33
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,Seven (a.k.a. Se7en),"['Mystery', 'Thriller']",34
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",35
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"Usual Suspects, The","['Crime', 'Mystery', 'Thriller']",36
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",37
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"Postman, The (Postino, Il)","['Comedy', 'Drama', 'Romance']",38
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"Indian in the Cupboard, The","['Adventure', 'Children', 'Fantasy']",39
62,Mr. Holland's Opus (1995),Drama,1995.0,Mr. Holland's Opus,['Drama'],40
65,Bio-Dome (1996),Comedy,1996.0,Bio-Dome,['Comedy'],41
69,Friday (1995),Comedy,1995.0,Friday,['Comedy'],42
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996.0,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",43
