n_factors,lr,reg,best_val_rmse,best_epoch,elapsed_s
25,0.01,0.1,0.839583,25,24.0
15,0.01,0.1,0.842894,25,22.7
25,0.005,0.1,0.846637,25,24.0
15,0.005,0.1,0.847497,25,23.8
5,0.01,0.1,0.84783,25,23.8
15,0.01,0.2,0.84789,16,18.1
25,0.01,0.2,0.847965,16,17.9
5,0.01,0.2,0.848401,16,18.2
15,0.005,0.2,0.848625,25,23.2
25,0.005,0.2,0.848735,25,24.0
5,0.005,0.2,0.849247,25,22.0
5,0.005,0.1,0.849746,25,22.0
25,0.002,0.1,0.85851,25,23.4
15,0.002,0.2,0.858911,25,24.6
15,0.002,0.1,0.858999,25,24.6
25,0.002,0.2,0.859081,25,23.6
5,0.002,0.2,0.860448,25,24.1
5,0.01,0.02,0.860472,10,11.9
5,0.005,0.02,0.860822,22,23.7
25,0.01,0.02,0.860831,9,11.3
25,0.005,0.02,0.861158,17,19.2
5,0.002,0.1,0.86171,25,24.4
15,0.01,0.02,0.8625,9,11.1
15,0.005,0.02,0.862887,16,17.9
25,0.002,0.02,0.865538,25,23.7
15,0.002,0.02,0.867501,25,25.3
5,0.002,0.02,0.868584,25,24.6
